Date,Total Confirmed Cases,Total Deaths,Daily Cases,Cases 7-day Average,Daily Deaths,Deaths 7-day Average,,,,,,*Population In Alachua = 269043
3/10/20,1,0,1,,0,,,,,,,
3/11/20,1,0,0,,0,,,,,,,
3/12/20,2,0,1,,0,,,,,,,
3/13/20,3,0,1,,0,,,,,,,
3/14/20,3,0,0,,0,,,,,,,
3/15/20,4,0,1,,0,,,,,,,
3/16/20,4,0,0,0.57,0,0,,,,,,
3/17/20,6,0,2,0.71,0,0,,,,,,
3/18/20,7,0,1,0.86,0,0,,,,,,
3/19/20,11,0,4,1.29,0,0,,,,,,
3/20/20,15,0,4,1.71,0,0,,,,,,
3/21/20,25,0,10,3.14,0,0,,,,,,
3/22/20,35,0,10,4.43,0,0,,,,,,
3/23/20,37,0,2,4.71,0,0,,,,,,
3/24/20,37,0,0,4.43,0,0,,,,,,
3/25/20,46,0,9,5.57,0,0,,,,,,
3/26/20,53,0,7,6,0,0,,,,,,
3/27/20,60,0,7,6.43,0,0,,,,,,
3/28/20,68,0,8,6.14,0,0,,,,,,
3/29/20,72,0,4,5.29,0,0,,,,,,
3/30/20,80,0,8,6.14,0,0,,,,,,
3/31/20,87,0,7,7.14,0,0,,,,,,
4/1/20,92,0,5,6.57,0,0,,,,,,
4/2/20,95,0,3,6,0,0,,,,,,
4/3/20,110,0,15,7.14,0,0,,,,,,
4/4/20,116,0,6,6.86,0,0,,,,,,
4/5/20,123,0,7,7.29,0,0,,,,,,
4/6/20,133,0,10,7.57,0,0,,,,,,
4/7/20,139,0,6,7.43,0,0,,,,,,
4/8/20,144,0,5,7.43,0,0,,,,,,
4/9/20,154,0,10,8.43,0,0,,,,,,
4/10/20,167,0,13,8.14,0,0,,,,,,
4/11/20,174,0,7,8.29,0,0,,,,,,
4/12/20,183,0,9,8.57,0,0,,,,,,
4/13/20,187,0,4,7.71,0,0,,,,,,
4/14/20,195,0,8,8,0,0,,,,,,
4/15/20,196,0,1,7.43,0,0,,,,,,
4/16/20,200,0,4,6.57,0,0,,,,,,
4/17/20,201,0,1,4.86,0,0,,,,,,
4/18/20,205,0,4,4.43,0,0,,,,,,
4/19/20,210,0,5,3.86,0,0,,,,,,
4/20/20,218,0,8,4.43,0,0,,,,,,
4/21/20,224,1,6,4.14,1,0.14,,,,,,
4/22/20,227,1,3,4.43,0,0.14,,,,,,
4/23/20,231,1,4,4.43,0,0.14,,,,,,
4/24/20,244,1,13,6.14,0,0.14,,,,,,
4/25/20,245,1,1,5.71,0,0.14,,,,,,
4/26/20,251,1,6,5.86,0,0.14,,,,,,
4/27/20,254,2,3,5.14,1,0.29,,,,,,
4/28/20,255,2,1,4.43,0,0.14,,,,,,
4/29/20,262,2,7,5,0,0.14,,,,,,
4/30/20,267,5,5,5.14,3,0.57,,,,,,
5/1/20,273,5,6,4.14,0,0.57,,,,,,
5/2/20,275,5,2,4.29,0,0.57,,,,,,
5/3/20,286,5,11,5,0,0.57,,,,,,
5/4/20,289,5,3,5,0,0.43,,,,,,
5/5/20,289,5,0,4.86,0,0.43,,,,,,
5/6/20,295,5,6,4.71,0,0.43,,,,,,
5/7/20,300,5,5,4.71,0,0,,,,,,
5/8/20,306,5,6,4.71,0,0,,,,,,
5/9/20,308,5,2,4.71,0,0,,,,,,
5/10/20,312,5,4,3.71,0,0,,,,,,
5/11/20,320,5,8,4.43,0,0,,,,,,
5/12/20,324,5,4,5,0,0,,,,,,
5/13/20,326,5,2,4.43,0,0,,,,,,
5/14/20,330,5,4,4.29,0,0,,,,,,
5/15/20,330,6,0,3.43,1,0.14,,,,,,
5/16/20,330,7,0,3.14,1,0.29,,,,,,
5/17/20,332,7,2,2.86,0,0.29,,,,,,
5/18/20,337,7,5,2.43,0,0.29,,,,,,
5/19/20,339,7,2,2.14,0,0.29,,,,,,
5/20/20,344,7,5,2.57,0,0.29,,,,,,
5/21/20,346,7,2,2.29,0,0.29,,,,,,
5/22/20,354,7,8,3.43,0,0.14,,,,,,
5/23/20,355,7,1,3.57,0,0,,,,,,
5/24/20,361,7,6,4.14,0,0,,,,,,
5/25/20,365,7,4,4,0,0,,,,,,
5/26/20,370,7,5,4.43,0,0,,,,,,
5/27/20,370,7,0,3.71,0,0,,,,,,
5/28/20,372,7,2,3.71,0,0,,,,,,
5/29/20,378,7,6,3.43,0,0,,,,,,
5/30/20,379,7,1,3.43,0,0,,,,,,
5/31/20,380,7,1,2.71,0,0,,,,,,
6/1/20,382,7,2,2.43,0,0,,,,,,
6/2/20,382,7,0,1.71,0,0,,,,,,
6/3/20,383,8,1,1.86,1,0.14,,,,,,
6/4/20,387,8,4,2.14,0,0.14,,,,,,
6/5/20,392,8,5,2,0,0.14,,,,,,
6/6/20,396,8,4,2.43,0,0.14,,,,,,
6/7/20,399,8,3,2.71,0,0.14,,,,,,
