Date,Total Confirmed Cases,Total Deaths,Daily Cases,Cases 7-day Average,Daily Deaths,Deaths 7-day Average
3/4/20,2,0,2,,0,
3/5/20,9,0,7,,0,
3/6/20,9,0,0,,0,
3/7/20,14,0,5,,0,
3/8/20,17,0,3,,0,
3/9/20,18,0,1,,0,
3/10/20,19,0,1,2.71,0,0
3/11/20,28,2,9,3.71,2,0.29
3/12/20,32,2,4,3.29,0,0.29
3/13/20,50,2,18,5.86,0,0.29
3/14/20,77,3,27,9,1,0.43
3/15/20,116,4,39,14.14,1,0.57
3/16/20,141,4,25,17.57,0,0.57
3/17/20,186,6,45,23.86,2,0.86
3/18/20,314,7,128,40.86,1,0.71
3/19/20,390,8,76,51.14,1,0.86
3/20/20,520,10,130,67.14,2,1.14
3/21/20,658,12,138,83,2,1.29
3/22/20,830,13,172,102,1,1.29
3/23/20,1171,14,341,147.14,1,1.43
3/24/20,1412,18,241,175.14,4,1.71
3/25/20,1682,22,270,195.43,4,2.14
3/26/20,2355,28,673,280.71,6,2.86
3/27/20,2765,34,410,320.71,6,3.43
3/28/20,3763,54,998,443.57,20,6
3/29/20,4246,56,483,488,2,6.14
3/30/20,5473,63,1227,614.57,7,7
3/31/20,6338,77,865,703.71,14,8.43
4/1/20,6955,87,617,753.29,10,9.29
4/2/20,8010,128,1055,807.86,41,14.29
4/3/20,9585,163,1575,974.29,35,18.43
4/4/20,11111,191,1526,1049.71,28,19.57
4/5/20,12151,218,1040,1129.29,27,23.14
4/6/20,13324,236,1173,1121.57,18,24.71
4/7/20,14747,296,1423,1201.29,60,31.29
4/8/20,15455,309,708,1214.29,13,31.71
4/9/20,16364,354,909,1193.43,45,32.29
4/10/20,17531,390,1167,1135.14,36,32.43
4/11/20,18494,438,963,1054.71,48,35.29
4/12/20,19355,461,861,1029.14,23,34.71
4/13/20,20601,470,1246,1039.57,9,33.43
4/14/20,21367,571,766,945.71,101,39.29
4/15/20,22511,596,1144,1008,25,41
4/16/20,22897,633,386,933.29,37,39.86
4/17/20,24119,726,1222,941.14,93,48
4/18/20,25269,748,1150,967.86,22,44.29
4/19/20,25996,764,727,948.71,16,43.29
4/20/20,26660,774,664,865.57,10,43.43
4/21/20,27495,867,835,875.43,93,42.29
4/22/20,28309,927,814,828.29,60,47.29
4/23/20,28832,987,523,847.86,60,50.57
4/24/20,30174,1046,1342,865,59,45.71
4/25/20,30839,1055,665,795.71,9,43.86
4/26/20,31528,1074,689,790.29,19,44.29
4/27/20,32138,1088,610,782.57,14,44.86
4/28/20,32846,1171,708,764.43,83,43.43
4/29/20,33193,1240,347,697.71,69,44.71
4/30/20,33690,1268,497,694,28,40.14
5/1/20,34728,1314,1038,650.57,46,38.29
5/2/20,35463,1364,735,660.57,50,44.14
5/3/20,36078,1379,615,650,15,43.57
5/4/20,36897,1399,819,679.86,20,44.43
5/5/20,37439,1471,542,656.14,72,42.86
5/6/20,38002,1539,563,687,68,42.71
5/7/20,38828,1539,826,734,0,38.71
5/8/20,39199,1600,371,638.71,61,40.86
5/9/20,40001,1715,802,648.29,115,50.14
5/10/20,40596,1721,595,645.43,6,48.86
5/11/20,40982,1735,386,583.57,14,48
5/12/20,41923,1779,941,640.57,44,44
5/13/20,42402,1827,479,628.57,48,41.14
5/14/20,43210,1875,808,626,48,48
5/15/20,44138,1917,928,705.57,42,45.29
5/16/20,44811,1964,673,687.14,47,35.57
5/17/20,45588,1973,777,713.14,9,36
5/18/20,46442,1997,854,780,24,37.43
5/19/20,46944,2052,502,717.29,55,39
5/20/20,47471,2096,527,724.14,44,38.43
5/21/20,48675,2144,1204,780.71,48,38.43
5/22/20,49451,2190,776,759,46,39
5/23/20,50127,2232,676,759.43,42,38.29
5/24/20,50867,2237,740,754.14,5,37.71
5/25/20,51746,2252,879,757.71,15,36.43
5/26/20,52255,2259,509,758.71,7,29.57
5/27/20,52634,2319,379,737.57,60,31.86
5/28/20,53277,2363,643,657.43,44,31.29
5/29/20,54497,2413,1220,720.86,50,31.86
5/30/20,55424,2447,927,756.71,34,30.71
5/31/20,56163,2451,739,756.57,4,30.57
6/1/20,56822,2459,659,725.14,8,29.57
6/2/20,57439,2529,617,740.57,70,38.57
6/3/20,58756,2565,1317,874.57,36,35.14
6/4/20,60183,2607,1427,986.57,42,34.86
6/5/20,61480,2659,1297,997.57,52,35.14
6/6/20,62758,2688,1278,1047.71,29,34.43
6/7/20,63930,2699,1172,1109.57,11,35.43
6/8/20,64896,2711,966,1153.43,12,36
6/9/20,65992,2764,1096,1221.86,53,33.57
6/10/20,67371,2801,1379,1230.71,37,33.71
6/11/20,69069,2848,1698,1269.43,47,34.43
6/12/20,70971,2877,1902,1355.86,29,31.14
6/13/20,73552,2925,2581,1542,48,33.86
6/14/20,75568,2931,2016,1662.57,6,33.14
6/15/20,77326,2938,1758,1775.71,7,32.43
6/16/20,80109,2993,2783,2016.71,55,32.71
6/17/20,82719,3018,2610,2192.57,25,31
6/18/20,85926,3061,3207,2408.14,43,30.43
6/19/20,89748,3104,3822,2682.43,43,32.43
6/20/20,93797,3144,4049,2892.14,40,31.29
6/21/20,97291,3161,3494,3103.29,17,32.86
6/22/20,100217,3173,2926,3270.14,12,33.57
6/23/20,103502,3238,3285,3341.86,65,35
6/24/20,109014,3281,5512,3756.43,43,37.57
6/25/20,114018,3327,5004,4013.14,46,38
6/26/20,122960,3366,8942,4744.57,39,37.43
6/27/20,132545,3390,9585,5535.43,24,35.14
6/28/20,141075,3419,8530,6254.86,29,36.86
6/29/20,146341,3447,5266,6589.14,28,39.14
6/30/20,152434,3505,6093,6990.29,58,38.14
7/1/20,158997,3550,6563,7140.43,45,38.43
7/2/20,169106,3617,10109,7869.71,67,41.43
7/3/20,178594,3684,9488,7947.71,67,45.43
7/4/20,190052,3702,11458,8215.29,18,44.57
7/5/20,200111,3731,10059,8433.71,29,44.57
7/6/20,206447,3778,6336,8586.57,47,47.29
7/7/20,213794,3841,7347,8765.71,63,48
7/8/20,223783,3889,9989,9255.14,48,48.43
7/9/20,232718,4009,8935,9087.43,120,56
7/10/20,244151,4102,11433,9365.29,93,59.71
7/11/20,254511,4197,10360,9208.43,95,70.71
7/12/20,269811,4242,15300,9957.14,45,73
7/13/20,282435,4277,12624,10855.43,35,71.29
7/14/20,291629,4409,9194,11119.29,132,81.14
7/15/20,301810,4521,10181,11146.71,112,90.29
7/16/20,315775,4677,13965,11865.29,156,95.43
7/17/20,327241,4805,11466,11870,128,100.43
7/18/20,337569,4895,10328,11865.43,90,99.71
7/19/20,350047,4982,12478,11462.29,87,105.71
7/20/20,360394,5072,10347,11137,90,113.57
7/21/20,369834,5206,9440,11172.14,134,113.86
7/22/20,379619,5345,9785,11115.57,139,117.71
7/23/20,389868,5518,10249,10584.71,173,120.14
7/24/20,402312,5653,12444,10724.43,135,121.14
7/25/20,414511,5777,12199,10991.71,124,126
7/26/20,423855,5854,9344,10544,77,124.57
7/27/20,432747,5931,8892,10336.14,77,122.71
7/28/20,441977,6117,9230,10306.14,186,130.14
7/29/20,451423,6333,9446,10257.71,216,141.14
7/30/20,461379,6586,9956,10215.86,253,152.57
7/31/20,470386,6843,9007,9724.86,257,170
8/1/20,480028,7022,9642,9359.57,179,177.86
8/2/20,487132,7084,7104,9039.57,62,175.71
8/3/20,491884,7157,4752,8448.14,73,175.14
8/4/20,497330,7402,5446,7907.57,245,183.57
8/5/20,502739,7627,5409,7330.86,225,184.86
8/6/20,510389,7747,7650,7001.43,120,165.86
8/7/20,518067,7926,7678,6811.57,179,154.71
8/8/20,526577,8109,8510,6649.86,183,155.29
8/9/20,532806,8186,6229,6524.86,77,157.43
8/10/20,536961,8277,4155,6439.57,91,160
8/11/20,542792,8553,5831,6494.57,276,164.43
8/12/20,550901,8765,8109,6880.29,212,162.57
8/13/20,557137,8913,6236,6678.29,148,166.57
8/14/20,563285,9141,6148,6459.71,228,173.57
8/15/20,569637,9345,6352,6151.43,204,176.57
8/16/20,573416,9452,3779,5801.43,107,180.86
8/17/20,576086,9538,2670,5589.29,86,180.14
8/18/20,579932,9758,3846,5305.71,220,172.14
8/19/20,584039,9931,4107,4734,173,166.57
8/20/20,588602,10049,4563,4495,118,162.29
8/21/20,593286,10168,4684,4285.86,119,146.71
8/22/20,597589,10273,4303,3993.14,105,132.57
8/23/20,600563,10324,2974,3878.14,51,124.57
8/24/20,602829,10397,2266,3820.43,73,122.71
8/25/20,605502,10580,2673,3652.86,183,117.43
8/26/20,608714,10732,3212,3525,152,114.43
8/27/20,611991,10868,3277,3341.29,136,117
8/28/20,615806,10957,3815,3217.14,89,112.71
